,Unnamed: 0,Date,User,Tweet,Updated_Tweet,Sentiment,Score
37,37,2022-07-15 16:41:53+00:00,KleimanIntCon,"#SriLankaProtests 2026 bond 25, 60% yield, #IMF talk indefinite adjourn. #pakistan 2027 issue ~20% yield, Fund $1 billion release pale v $35 billion 2023 external funding debt/import service scream. #Nepal rupee peg  127/$ low, June 45,000 tourists 1/2 #India. #EmergingMarkets",SriLankaProtests 2026 bond 25 60 yield IMF talk indefinite adjourn pakistan 2027 issue 20 yield Fund 1 billion release pale v 35 billion 2023 external funding debt import service scream Nepal rupee peg 127 low June 45 000 tourists 1 2 India EmergingMarkets,NEGATIVE,0.9671385884284973
38,38,2022-07-15 16:39:21+00:00,HarshKu11586693,"After a prolong protest of around 100 days, Gotabaya Rajapaksa resigns as Sri Lanka president . Moreover the situations is slightly in control and protestors are heading back leaving the President residence.
#SriLankaProtests",After a prolong protest of around 100 days Gotabaya Rajapaksa resigns as Sri Lanka president Moreover the situations is slightly in control and protestors are heading back leaving the President residence SriLankaProtests,NEGATIVE,0.9901138544082642
39,39,2022-07-15 16:39:00+00:00,Remyantho,Who will be the next President #SriLankaProtests #SriLanka #lka,Who will be the next President SriLankaProtests SriLanka lka,POSITIVE,0.988629937171936
40,40,2022-07-15 16:33:53+00:00,pendi22k,Um - #SriLankaEconomicCrisis better be paying attention to #Argentina right now. Their protests are based on IMF recommendations increasing poverty 👀,Um SriLankaEconomicCrisis better be paying attention to Argentina right now Their protests are based on IMF recommendations increasing poverty,NEGATIVE,0.998058021068573
41,41,2022-07-15 16:27:07+00:00,harini_1997,"Two families from Sri Lanka, including four adults and three children, arrived near Arichal Munai tonight, seeking refuge. #SriLankaEconomicCrisis

@NewIndianXpress @xpresstn",Two families from Sri Lanka including four adults and three children arrived near Arichal Munai tonight seeking refuge SriLankaEconomicCrisis NewIndianXpress xpresstn,NEGATIVE,0.9939844012260437
42,42,2022-07-15 16:12:47+00:00,Judeoff,"Next President ? 🇱🇰

#lka #SriLanka #GoHomeRanil #NotMyPresident #ProtestsLK #SriLankaProtests #අරගලයටජය",Next President lka SriLanka GoHomeRanil NotMyPresident ProtestsLK SriLankaProtests අරගලයටජය,NEGATIVE,0.9676592350006104
43,43,2022-07-15 16:03:32+00:00,tanmay171,"#SriLankaCrisis : #Rajapaksas barred from leaving the country, Lankan Supreme Court issues order.
One by One all of them are fleeing their country after letting #SriLanka down for their greed for power.
Is #Pakistan Next?",SriLankaCrisis Rajapaksas barred from leaving the country Lankan Supreme Court issues order One by One all of them are fleeing their country after letting SriLanka down for their greed for power Is Pakistan Next,NEGATIVE,0.9823213815689087
44,44,2022-07-15 16:00:48+00:00,abdulthawwab,"Why should the leader always be a senior? Hasn't #SriLanka suffered immense from the #crisis.

We need no more grandpa's, we need youth to lead. A young leader who has a vision.

#SriLankaCrisis #GoHomeRanil #GotaWentHome #SriLankaEconomicCrisis #srilankadollarchallenge #lka #lk",Why should the leader always be a senior Hasn t SriLanka suffered immense from the crisis We need no more grandpa s we need youth to lead A young leader who has a vision SriLankaCrisis GoHomeRanil GotaWentHome SriLankaEconomicCrisis srilankadollarchallenge lka lk,POSITIVE,0.9643513560295105
45,45,2022-07-15 15:59:10+00:00,Welikumbura,"GGG activists renamed #GotaGoGama to #RanilaGoGama &amp; demanding the illegitimate president Ranil to resign.

#lka #SriLanka #GoHomeRanil #NotMyPresident #ProtestsLK #SriLankaProtests #අරගලයටජය",GGG activists renamed GotaGoGama to RanilaGoGama amp demanding the illegitimate president Ranil to resign lka SriLanka GoHomeRanil NotMyPresident ProtestsLK SriLankaProtests අරගලයටජය,NEGATIVE,0.9923349022865295
46,46,2022-07-15 15:57:32+00:00,rkamalraj,"#aragalaya people will support #cvvickneswaran as prime minister candidate ?, he is former high court judge. We can start System change from here. Will they ? @ARVLoshan, #SriLankaProtests #SriLankaEconomicCrisis #SriLankanCrisis",aragalaya people will support cvvickneswaran as prime minister candidate he is former high court judge We can start System change from here Will they ARVLoshan SriLankaProtests SriLankaEconomicCrisis SriLankanCrisis,NEGATIVE,0.5646423697471619
47,47,2022-07-15 15:55:23+00:00,Vidiyallk,SLPP must support a candidate fielded by the SLPP and not any other external candidate - G.L.Peiris #lka #SriLanka #SriLankaCrisis,SLPP must support a candidate fielded by the SLPP and not any other external candidate G L Peiris lka SriLanka SriLankaCrisis,NEGATIVE,0.8322732448577881
48,48,2022-07-15 15:54:13+00:00,lahiruat,"No more saviors please. Country needs long lasting, visionary policies not characters. 🤷

#SriLanka 
#SriLankaCrisis
#SriLankaEconomicCrisis
#SriLankaPoliticalCrisis
#justsaying",No more saviors please Country needs long lasting visionary policies not characters SriLanka SriLankaCrisis SriLankaEconomicCrisis SriLankaPoliticalCrisis justsaying,NEGATIVE,0.9795752167701721
49,49,2022-07-15 15:51:06+00:00,SharminiDNS,"Who gave Aragalaya permission to decide the future of this country on behalf of the entire nation?

#SriLanka #SriLankaCrisis",Who gave Aragalaya permission to decide the future of this country on behalf of the entire nation SriLanka SriLankaCrisis,POSITIVE,0.9851216077804565
50,50,2022-07-15 15:49:59+00:00,official_mh1997,"When #SriLanka is protesting for new leaders, why does the parliament want to elect the same corrupts politicians again? Steal more of the people's money? #SriLankaProtests #SriLankaCrisis #SriLankaEconomicCrisis #GoHomeGota2022 #GoHomeRanil #GoHomeRanil2022 #Aragalaya",When SriLanka is protesting for new leaders why does the parliament want to elect the same corrupts politicians again Steal more of the people s money SriLankaProtests SriLankaCrisis SriLankaEconomicCrisis GoHomeGota2022 GoHomeRanil GoHomeRanil2022 Aragalaya,NEGATIVE,0.9982739686965942
51,51,2022-07-15 15:46:16+00:00,official_mh1997,"There's no time to waste watching the same corrupts leaders coming into power again. Change now, if not when? #GotaGoHome2022 #GotaGoGama #GoHomeGota2022 #GoHomeRanil #GoHomeRanil2022 #Revolution #SriLanka #SriLankaProtests #SriLankaEconomicCrisis #Aragalaya #SayNoToCorruption",There s no time to waste watching the same corrupts leaders coming into power again Change now if not when GotaGoHome2022 GotaGoGama GoHomeGota2022 GoHomeRanil GoHomeRanil2022 Revolution SriLanka SriLankaProtests SriLankaEconomicCrisis Aragalaya SayNoToCorruption,NEGATIVE,0.7383468151092529
52,52,2022-07-15 15:46:05+00:00,rkamalraj,"#SriLanka people always vote for new candidates (chandrika, Mahinda, maithripala &amp; Gatabaya) . They won't vote for known person. 
They want charismatic leaders, not a knowledgeable leader 
#SriLankaCrisis #SriLankaEconomicCrisis",SriLanka people always vote for new candidates chandrika Mahinda maithripala amp Gatabaya They won t vote for known person They want charismatic leaders not a knowledgeable leader SriLankaCrisis SriLankaEconomicCrisis,NEGATIVE,0.9919837117195129
53,53,2022-07-15 15:42:45+00:00,PrabodOfficial,"SLPP must support a candidate fielded by the SLPP and not any other external candidate
- SLPP Chairman G. L. Peiris 
#lka #SriLankaCrisis",SLPP must support a candidate fielded by the SLPP and not any other external candidate SLPP Chairman G L Peiris lka SriLankaCrisis,NEGATIVE,0.7776454091072083
54,54,2022-07-15 15:40:31+00:00,tamil_butterfly,"A 66-year-old man tried to jump into a well after Gotabaya Rajapaksa resigned from his post, according to a report from Thombe region. #GoHomeRani #GoHome225    #GoHomeGota #lka #අරගලයටජය #BRAKINGNEWS #SriLankaCrisis #SriLankaProtests #SriLankaEconomicCrisis #SriLankaToday",A 66 year old man tried to jump into a well after Gotabaya Rajapaksa resigned from his post according to a report from Thombe region GoHomeRani GoHome225 GoHomeGota lka අරගලයටජය BRAKINGNEWS SriLankaCrisis SriLankaProtests SriLankaEconomicCrisis SriLankaToday,NEGATIVE,0.776755154132843
55,55,2022-07-15 15:39:16+00:00,tiranjanb_,"Sri Lanka don't want an another joker😑
Please.. .
@sajithpremadasa
#SajithPremadasa
#SriLanka
#SriLankaCrisis
#SriLankaNews",Sri Lanka don t want an another joker Please sajithpremadasa SajithPremadasa SriLanka SriLankaCrisis SriLankaNews,NEGATIVE,0.994318425655365
56,56,2022-07-15 15:25:15+00:00,red_sapphire1,"like sudan 🇸🇩 new intellectual must form the govt under the Constitution as srilanka.. 
Youth must make shure that their future must be more secure,ban all representatives more then two terms in office in govt #SriLankaProtests
#SriLankaProtests",like sudan new intellectual must form the govt under the Constitution as srilanka Youth must make shure that their future must be more secure ban all representatives more then two terms in office in govt SriLankaProtests SriLankaProtests,NEGATIVE,0.9948168396949768
57,57,2022-07-15 15:24:45+00:00,DesiChittar,"#SriLankaProtests will result in #SriLanka growing rapidly in next 5-10years. No corrupt leader will dare stand in election. No corrupt general will dare modify election results.

If #Pakistan keeps going in same direction, WE WILL GO LOWER THAN AFRICAN COUNTRIES(God Forbid)",SriLankaProtests will result in SriLanka growing rapidly in next 5 10years No corrupt leader will dare stand in election No corrupt general will dare modify election results If Pakistan keeps going in same direction WE WILL GO LOWER THAN AFRICAN COUNTRIES God Forbid,NEGATIVE,0.5408510565757751
58,58,2022-07-15 15:22:28+00:00,Nxddee,"If Ranil is sworn in as president then,
• He'll bring back the oldies (Johnston etc).
• Recover the image of the Rajapaksas so that Namal can come to power in the next election.

Say no to Dullas and Sarat as well!

#GoHomeRanil #lka #SriLanka #SriLankaProtests #gohomegota",If Ranil is sworn in as president then He ll bring back the oldies Johnston etc Recover the image of the Rajapaksas so that Namal can come to power in the next election Say no to Dullas and Sarat as well GoHomeRanil lka SriLanka SriLankaProtests gohomegota,NEGATIVE,0.968746542930603
59,59,2022-07-15 15:16:13+00:00,PrabodOfficial,"A vessel carrying 40,000MT of diesel is expected to arrive in the island shortly. Full payment has already been made for the shipment - CPC
#lka #SriLankaCrisis",A vessel carrying 40 000MT of diesel is expected to arrive in the island shortly Full payment has already been made for the shipment CPC lka SriLankaCrisis,NEGATIVE,0.9969303011894226
60,60,2022-07-15 15:10:37+00:00,official_mh1997,People celebrated a hard won victory after Gotabaya Rajapaksa's official resignation from the presidential post. #SriLanka #SriLankaProtests #GoHomeGota #GoHomeGota2022 #GoHomeRanil #RanilGoHome #GoHomeRanil2022 #GotaGoHome2022,People celebrated a hard won victory after Gotabaya Rajapaksa s official resignation from the presidential post SriLanka SriLankaProtests GoHomeGota GoHomeGota2022 GoHomeRanil RanilGoHome GoHomeRanil2022 GotaGoHome2022,POSITIVE,0.9984340071678162
61,61,2022-07-15 15:09:51+00:00,IamSivaranjan,"The Supreme Court issues an interim order preventing former President #Mahinda Rajapaksa and former Minister #Basil Rajapaksa from leaving the country without court’s permission until the 28th of July.
#Lka #SriLanka #SriLankaProtests",The Supreme Court issues an interim order preventing former President Mahinda Rajapaksa and former Minister Basil Rajapaksa from leaving the country without court s permission until the 28th of July Lka SriLanka SriLankaProtests,NEGATIVE,0.9890283346176147
62,62,2022-07-15 15:07:42+00:00,official_mh1997,"Sajith Premadasa hopes to be elected as new PM after a new President is elected - in short, people do not want the same corrupts coming back into power again. #SriLanka #SriLankaProtests #srilankanews #GoHomeGota #GoHomeGota2022 #GoHomeRanil #RanilGoHome #GoHomeRanil2022",Sajith Premadasa hopes to be elected as new PM after a new President is elected in short people do not want the same corrupts coming back into power again SriLanka SriLankaProtests srilankanews GoHomeGota GoHomeGota2022 GoHomeRanil RanilGoHome GoHomeRanil2022,NEGATIVE,0.9885889291763306
63,63,2022-07-15 15:04:34+00:00,mikorox,"Hey guys on another note what if @UPGammanpila never said there is a fuel crisis ?

#ranilsgameplan #GotabayaRajapaksa  #SriLankaProtests",Hey guys on another note what if UPGammanpila never said there is a fuel crisis ranilsgameplan GotabayaRajapaksa SriLankaProtests,NEGATIVE,0.9894765615463257
64,64,2022-07-15 14:54:14+00:00,BlackMark400,"Uber eats notifications be like ""You forgot to order"" nah bro I just saw the prices and came to senses.#SriLankaEconomicCrisis",Uber eats notifications be like You forgot to order nah bro I just saw the prices and came to senses SriLankaEconomicCrisis,NEGATIVE,0.9743034839630127
65,65,2022-07-15 14:44:10+00:00,tamil_butterfly,"Man is the best of creatures.  But if law and justice are taken away from man, in the world
 He is also the worst creature

 -Aristotle 💖💖💖 #GoHomeRani #GoHome225    #GoHomeGota #lka #අරගලයටජය #BRAKINGNEWS #SriLankaCrisis #JackInTheBox #instagramdown",Man is the best of creatures But if law and justice are taken away from man in the world He is also the worst creature Aristotle GoHomeRani GoHome225 GoHomeGota lka අරගලයටජය BRAKINGNEWS SriLankaCrisis JackInTheBox instagramdown,NEGATIVE,0.9983673691749573
66,66,2022-07-15 14:38:34+00:00,DellonJmusic,"Where is Johnston by the way? Have people forgotten about getting justice for what he did? 

#johnston #gohomegota #srilanka #colombo #aragalaya #gohomejohny #justice",Where is Johnston by the way Have people forgotten about getting justice for what he did johnston gohomegota srilanka colombo aragalaya gohomejohny justice,NEGATIVE,0.9942104816436768
